year,name,total_pop,total_hisc_pop,total_dominican_pop,state
2010-01-01,Washington,6744496.0,6744496.0,1289.0,53
2010-01-01,West Virginia,1853973.0,,,54
2010-01-01,Wisconsin,5691047.0,5691047.0,2414.0,55
2010-01-01,Wyoming,564460.0,,,56
2010-01-01,Puerto Rico,3722133.0,3722133.0,69305.0,72
2011-01-01,Alabama,4802740.0,4802740.0,1100.0,01
2011-01-01,Alaska,722718.0,,,02
2011-01-01,Arizona,6482505.0,6482505.0,2757.0,04
2011-01-01,Arkansas,2937979.0,2937979.0,325.0,05
2011-01-01,California,37691912.0,37691912.0,14286.0,06
2011-01-01,Colorado,5116796.0,5116796.0,2600.0,08
2011-01-01,Connecticut,3580709.0,3580709.0,23466.0,09
2011-01-01,Delaware,907135.0,907135.0,1626.0,10
2011-01-01,District of Columbia,617996.0,617996.0,2529.0,11
2011-01-01,Florida,19057542.0,19057542.0,178010.0,12
2011-01-01,Georgia,9815210.0,9815210.0,12479.0,13
2011-01-01,Hawaii,1374810.0,1374810.0,844.0,15
2011-01-01,Idaho,1584985.0,,,16
2011-01-01,Illinois,12869259.0,12869259.0,9599.0,17
2011-01-01,Indiana,6516922.0,6516922.0,2344.0,18
2011-01-01,Iowa,3062309.0,3062309.0,165.0,19
2011-01-01,Kansas,2871238.0,2871238.0,719.0,20
2011-01-01,Kentucky,4369356.0,4369356.0,1335.0,21
2011-01-01,Louisiana,4574836.0,4574836.0,6145.0,22
2011-01-01,Maine,1328188.0,,,23
2011-01-01,Maryland,5828289.0,5828289.0,16964.0,24
2011-01-01,Massachusetts,6587536.0,6587536.0,115741.0,25
2011-01-01,Michigan,9876187.0,9876187.0,4774.0,26
2011-01-01,Minnesota,5344861.0,5344861.0,1675.0,27
2011-01-01,Mississippi,2978512.0,,,28
2011-01-01,Missouri,6010688.0,6010688.0,2148.0,29
2011-01-01,Montana,998199.0,,,30
2011-01-01,Nebraska,1842641.0,1842641.0,499.0,31
2011-01-01,Nevada,2723322.0,2723322.0,1409.0,32
2011-01-01,New Hampshire,1318194.0,1318194.0,2014.0,33
2011-01-01,New Jersey,8821155.0,8821155.0,221623.0,34
2011-01-01,New Mexico,2082224.0,2082224.0,443.0,35
2011-01-01,New York,19465197.0,19465197.0,743644.0,36
2011-01-01,North Carolina,9656401.0,9656401.0,21734.0,37
2011-01-01,North Dakota,683932.0,,,38
2011-01-01,Ohio,11544951.0,11544951.0,8502.0,39
2011-01-01,Oklahoma,3791508.0,3791508.0,376.0,40
2011-01-01,Oregon,3871859.0,3871859.0,1738.0,41
2011-01-01,Pennsylvania,12742886.0,12742886.0,70506.0,42
2011-01-01,Rhode Island,1051302.0,1051302.0,37147.0,44
2011-01-01,South Carolina,4679230.0,4679230.0,2798.0,45
2011-01-01,South Dakota,824082.0,,,46
2011-01-01,Tennessee,6403353.0,6403353.0,2182.0,47
2011-01-01,Texas,25674681.0,25674681.0,14195.0,48
2011-01-01,Utah,2817222.0,2817222.0,2308.0,49
2011-01-01,Vermont,626431.0,,,50
2011-01-01,Virginia,8096604.0,8096604.0,12487.0,51
2011-01-01,Washington,6830038.0,6830038.0,2382.0,53
2011-01-01,West Virginia,1855364.0,,,54
2011-01-01,Wisconsin,5711767.0,5711767.0,1896.0,55
2011-01-01,Wyoming,568158.0,,,56
2011-01-01,Puerto Rico,3706690.0,3706690.0,71244.0,72
2012-01-01,California,38041430.0,38041430.0,18626.0,06
2012-01-01,Colorado,5187582.0,5187582.0,2639.0,08
2012-01-01,Connecticut,3590347.0,3590347.0,34754.0,09
2012-01-01,Delaware,917092.0,917092.0,2661.0,10
2012-01-01,District of Columbia,632323.0,632323.0,3681.0,11
2012-01-01,Florida,19317568.0,19317568.0,210068.0,12
2012-01-01,Georgia,9919945.0,9919945.0,18671.0,13
2012-01-01,Hawaii,1392313.0,1392313.0,1432.0,15
2012-01-01,Idaho,1595728.0,1595728.0,203.0,16
2012-01-01,Illinois,12875255.0,12875255.0,5515.0,17
2012-01-01,Indiana,6537334.0,6537334.0,3073.0,18
2012-01-01,Iowa,3074186.0,3074186.0,377.0,19
2012-01-01,Kansas,2885905.0,2885905.0,627.0,20
2012-01-01,Kentucky,4380415.0,4380415.0,2320.0,21
2012-01-01,Louisiana,4601893.0,4601893.0,6193.0,22
2012-01-01,Maine,1329192.0,,,23
2012-01-01,Maryland,5884563.0,5884563.0,18997.0,24
2012-01-01,Massachusetts,6646144.0,6646144.0,121552.0,25
2012-01-01,Michigan,9883360.0,9883360.0,5874.0,26
2012-01-01,Minnesota,5379139.0,5379139.0,2190.0,27
2012-01-01,Mississippi,2984926.0,2984926.0,665.0,28
2012-01-01,Missouri,6021988.0,6021988.0,1426.0,29
2012-01-01,Montana,1005141.0,,,30
2012-01-01,Nebraska,1855525.0,1855525.0,502.0,31
2012-01-01,Nevada,2758931.0,2758931.0,2380.0,32
2012-01-01,New Hampshire,1320718.0,1320718.0,2693.0,33
2012-01-01,New Jersey,8864590.0,8864590.0,233065.0,34
2012-01-01,New Mexico,2085538.0,2085538.0,1128.0,35
2012-01-01,New York,19570261.0,19570261.0,764454.0,36
2012-01-01,North Carolina,9752073.0,9752073.0,15157.0,37
2012-01-01,North Dakota,699628.0,,,38
2012-01-01,Ohio,11544225.0,11544225.0,9715.0,39
2012-01-01,Oklahoma,3814820.0,3814820.0,1157.0,40
2012-01-01,Oregon,3899353.0,3899353.0,791.0,41
2012-01-01,Pennsylvania,12763536.0,12763536.0,73739.0,42
2012-01-01,Rhode Island,1050292.0,1050292.0,37481.0,44
2012-01-01,South Carolina,4723723.0,4723723.0,5891.0,45
2012-01-01,South Dakota,833354.0,,,46
2012-01-01,Tennessee,6456243.0,6456243.0,2769.0,47
2012-01-01,Texas,26059203.0,26059203.0,14925.0,48
2012-01-01,Utah,2855287.0,2855287.0,2025.0,49
2012-01-01,Vermont,626011.0,,,50
2012-01-01,Virginia,8185867.0,8185867.0,14942.0,51
2012-01-01,Washington,6897012.0,6897012.0,2870.0,53
2012-01-01,West Virginia,1855413.0,,,54
2012-01-01,Wisconsin,5726398.0,5726398.0,3001.0,55
2012-01-01,Wyoming,576412.0,,,56
2012-01-01,Puerto Rico,3667084.0,3667084.0,65815.0,72
2012-01-01,Alabama,4822023.0,4822023.0,963.0,01
2012-01-01,Alaska,731449.0,731449.0,1990.0,02
2012-01-01,Arizona,6553255.0,6553255.0,1968.0,04
2012-01-01,Arkansas,2949131.0,,,05
2013-01-01,Alabama,4833722.0,4833722.0,238.0,01
2013-01-01,Alaska,735132.0,735132.0,701.0,02
2013-01-01,Arizona,6626624.0,6626624.0,3224.0,04
2013-01-01,Arkansas,2959373.0,2959373.0,182.0,05
2013-01-01,California,38332521.0,38332521.0,16458.0,06
2013-01-01,Colorado,5268367.0,5268367.0,2275.0,08
2013-01-01,Connecticut,3596080.0,3596080.0,36699.0,09
2013-01-01,Delaware,925749.0,925749.0,1906.0,10
2013-01-01,District of Columbia,646449.0,646449.0,3942.0,11
2013-01-01,Florida,19552860.0,19552860.0,198197.0,12
2013-01-01,Georgia,9992167.0,9992167.0,23237.0,13
2013-01-01,Hawaii,1404054.0,1404054.0,907.0,15
2013-01-01,Idaho,1612136.0,,,16
2013-01-01,Illinois,12882135.0,12882135.0,7771.0,17
2013-01-01,Indiana,6570902.0,6570902.0,2694.0,18
2013-01-01,Iowa,3090416.0,3090416.0,1014.0,19
2013-01-01,Kansas,2893957.0,2893957.0,766.0,20
2013-01-01,Kentucky,4395295.0,4395295.0,1458.0,21
2013-01-01,Louisiana,4625470.0,4625470.0,4997.0,22
2013-01-01,Maine,1328302.0,,,23
2013-01-01,Maryland,5928814.0,5928814.0,21352.0,24
2013-01-01,Massachusetts,6692824.0,6692824.0,151504.0,25
2013-01-01,Michigan,9895622.0,9895622.0,5470.0,26
2013-01-01,Minnesota,5420380.0,5420380.0,1162.0,27
2013-01-01,Mississippi,2991207.0,2991207.0,1080.0,28
2013-01-01,Missouri,6044171.0,6044171.0,2811.0,29
2013-01-01,Montana,1015165.0,,,30
2013-01-01,Nebraska,1868516.0,1868516.0,496.0,31
2013-01-01,Nevada,2790136.0,2790136.0,5505.0,32
2013-01-01,New Hampshire,1323459.0,1323459.0,6228.0,33
2013-01-01,New Jersey,8899339.0,8899339.0,240871.0,34
2013-01-01,New Mexico,2085287.0,2085287.0,572.0,35
2013-01-01,New York,19651127.0,19651127.0,827586.0,36
2013-01-01,North Carolina,9848060.0,9848060.0,13873.0,37
2013-01-01,North Dakota,723393.0,,,38
2013-01-01,Ohio,11570808.0,11570808.0,5585.0,39
2013-01-01,Oklahoma,3850568.0,3850568.0,681.0,40
2013-01-01,Oregon,3930065.0,3930065.0,803.0,41
2013-01-01,Pennsylvania,12773801.0,12773801.0,80514.0,42
2013-01-01,Rhode Island,1051511.0,1051511.0,46266.0,44
2013-01-01,South Carolina,4774839.0,4774839.0,6088.0,45
2013-01-01,South Dakota,844877.0,,,46
2013-01-01,Tennessee,6495978.0,6495978.0,1726.0,47
2013-01-01,Texas,26448193.0,26448193.0,12914.0,48
2013-01-01,Utah,2900872.0,2900872.0,3148.0,49
2013-01-01,Vermont,626630.0,,,50
2013-01-01,Virginia,8260405.0,8260405.0,9262.0,51
2013-01-01,Washington,6971406.0,6971406.0,2298.0,53
2013-01-01,West Virginia,1854304.0,1854304.0,349.0,54
2013-01-01,Wisconsin,5742713.0,5742713.0,2051.0,55
2013-01-01,Wyoming,582658.0,,,56
2013-01-01,Puerto Rico,3615086.0,3615086.0,63096.0,72
2014-01-01,Alabama,4849377.0,4849377.0,1198.0,01
2014-01-01,Alaska,736732.0,736732.0,2360.0,02
2014-01-01,Arizona,6731484.0,6731484.0,3341.0,04
2014-01-01,Arkansas,2966369.0,2966369.0,366.0,05
2014-01-01,California,38802500.0,38802500.0,15157.0,06
2014-01-01,Colorado,5355866.0,5355866.0,1638.0,08
